timeMs,fixedGiB,dynamicGiB,feasibleGiB
44.7,0.806846619,0.98651886,1.040752977
44.8,0.808876038,0.98891449,1.043081284
44.9,0.810874939,0.991424561,1.04540959
45.0,0.813148499,0.99356842,1.047737896
45.1,0.815803528,0.995880127,1.050066203
45.2,0.817855835,0.997848511,1.052394509
45.3,0.819953918,1.000663757,1.054722816
45.4,0.822219849,1.002754211,1.057051122
45.5,0.824226379,1.004516602,1.059379429
45.6,0.826713562,1.007110596,1.061707735
45.7,0.828720093,1.00920105,1.064036041
45.8,0.831428528,1.01146698,1.066364348
45.9,0.833396912,1.013679504,1.068692654
46.0,0.835632324,1.016326904,1.071020961
46.1,0.837776184,1.018440247,1.073349267
46.2,0.839706421,1.020645142,1.075677574
46.3,0.842224121,1.022903442,1.07800588
46.4,0.844268799,1.025421143,1.080334187
46.5,0.846931458,1.027381897,1.082662493
46.6,0.848884583,1.029548645,1.084990799
46.7,0.851287842,1.031898499,1.087319106
46.8,0.853515625,1.033874512,1.089647412
46.9,0.855621338,1.036270142,1.091975719
47.0,0.857910156,1.03855896,1.094304025
47.1,0.860481262,1.041053772,1.096632332
47.2,0.862770081,1.04296875,1.098960638
47.3,0.864501953,1.045333862,1.101288944
47.4,0.867012024,1.047546387,1.103617251
47.5,0.86895752,1.049636841,1.105945557
47.6,0.871047974,1.051940918,1.108273864
47.7,0.873451233,1.054397583,1.11060217
47.8,0.876060486,1.056800842,1.112930477
47.9,0.878303528,1.058639526,1.115258783
48.0,0.880104065,1.061035156,1.11758709
48.1,0.882553101,1.063156128,1.119915396
48.2,0.884651184,1.0651474,1.122243702
48.3,0.886604309,1.067550659,1.124572009
48.4,0.88899231,1.070098877,1.126900315
48.5,0.891601562,1.072364807,1.129228622
48.6,0.893768311,1.074142456,1.131556928
48.7,0.895553589,1.076644897,1.133885235
48.8,0.89806366,1.078552246,1.136213541
48.9,0.900131226,1.080589294,1.138541847
49.0,0.902160645,1.083099365,1.140870154
49.1,0.904380798,1.085624695,1.14319846
49.2,0.907066345,1.08782959,1.145526767
49.3,0.9090271,1.089614868,1.147855073
49.4,0.911369324,1.092155457,1.15018338
49.5,0.913520813,1.094223022,1.152511686
49.6,0.915931702,1.096450806,1.154839993
49.7,0.917648315,1.098617554,1.157168299
49.8,0.918540955,1.101303101,1.159496605
49.9,0.918754578,1.103553772,1.161824912
50.0,0.91897583,1.10534668,1.164153218
50.1,0.919158936,1.107803345,1.166481525
50.2,0.919364929,1.11000824,1.168809831
50.3,0.919532776,1.112297058,1.171138138
50.4,0.919784546,1.114227295,1.173466444
50.5,0.919998169,1.116950989,1.17579475
50.6,0.920166016,1.119033813,1.178123057
50.7,0.920295715,1.120864868,1.180451363
50.8,0.920478821,1.123382568,1.18277967
50.9,0.920677185,1.125617981,1.185107976
51.0,0.920913696,1.127876282,1.187436283
51.1,0.921104431,1.129844666,1.189764589
51.2,0.921325684,1.132575989,1.192092896
